kind,kwh_per_interval
charge,766.9530435778997
charge,756.108652711338
charge,785.443226975188
charge,800.915036811939
charge,715.8688199628689
charge,726.9827096515337
charge,833.3333333333333
charge,833.3333333333333
charge,801.0299640779888
charge,805.3458762367852
charge,821.0934305126057
charge,833.3333333333333
charge,11.585528728234976
discharge,45.4698333333331
charge,0.6351304928352874
charge,32.049722068201845
charge,25.11728012923993
discharge,105.30014999999992
discharge,99.86166666666668
discharge,146.23006666666663
discharge,200.45354999999995
discharge,230.09708333333333
discharge,252.98984999999993
discharge,306.1174500000001
charge,810.5676166538466
charge,815.5494502870189
charge,423.83957554512665
discharge,8.174231039217602
charge,10.091643258292606
discharge,6.7916584644715385
charge,4.687542503599275
charge,3.6972210327844044
discharge,10.228894794800112
discharge,30.720457625106633
discharge,17.71491829475326
charge,2.7172006064756715
charge,5.20646211693213
charge,7.942050158025154
discharge,7.519266920672521
discharge,49.93115780646065
discharge,81.06082203861581
discharge,77.10925482702976
discharge,532.1689011397556
discharge,720.6283333333333
discharge,734.1428
discharge,718.8030333333332
discharge,688.355
discharge,714.8059333333333
discharge,724.8145166666666
discharge,705.315
discharge,714.35385
discharge,707.17605
discharge,689.7199999999999
discharge,715.1150166666666
discharge,13.16802065343236
charge,19.85385643086147
charge,32.88115709645945
charge,10.914297009928532
charge,7.130936016182886
discharge,16.114672570097696
discharge,6.773502951193905
charge,762.726891773351
charge,816.1689503409116
charge,57.76435442432239
charge,819.7265369675454
charge,833.3333333333333
charge,823.4961428299986
charge,812.7773053655723
charge,814.3762673239863
charge,781.4764510144978
charge,800.6436652354662
charge,815.9322501824527
charge,808.695010408842
charge,791.9003438192107
charge,36.377888461811494
charge,40.569229048847774
discharge,6.884544316204938
charge,5.213709872937557
charge,25.723618518075455
charge,23.52997858170636
charge,53.37998399065464
charge,42.72563985975512
charge,28.123077171334785
charge,38.09061194347464
charge,44.50937366123276
charge,13.688392951330798
charge,0.6777365716518489
discharge,14.10662634351354
discharge,9.86744697222366
charge,38.1672478093966
charge,58.62813199049435
charge,52.54154242392133
discharge,7.774017222615271
discharge,28.622206439717843
discharge,17.944758285508556
charge,10.261114256009364
charge,11.203061826785301
discharge,0.5457371731019975
discharge,12.74154854280141
discharge,18.478855070214422
discharge,28.464431789974924
charge,24.45386381495905
charge,33.41432239663118
charge,16.482160364571996
charge,30.671461953225162
charge,50.439311590397665
charge,73.36985920810298
charge,312.42802805751126
discharge,492.57907874792363
discharge,814.3165022868277
discharge,26.81909579336002
discharge,52.67410719992938
discharge,28.155711862814087
discharge,10.284538173006808
discharge,9.373231089935075
discharge,5.3224801122854615
discharge,9.667569579444375
charge,11.689638906541632
charge,725.2918650141548
discharge,41.93536149498152
discharge,737.5629166666666
discharge,696.8596333333332
discharge,644.6328333333332
discharge,633.9412500000001
discharge,582.8406999999997
discharge,511.4707166666666
discharge,479.5179166666667
discharge,515.9303666666665
discharge,485.5158
discharge,390.90583333333313
discharge,360.69461666666666
discharge,316.2564500000001
discharge,236.7891666666668
discharge,196.02129999999988
discharge,199.0993666666667
discharge,225.4475
discharge,237.37681666666663
discharge,50.043134760737644
charge,825.1800052060355
charge,833.3333333333333
charge,789.7818407845186
charge,722.9368358892998
charge,766.7230882185288
charge,815.3506420781252
charge,833.3333333333333
charge,833.3333333333333
charge,830.6826414912975
charge,790.3283023363438
charge,748.717767269139
charge,737.1763704091359
discharge,0.6272278954104422
discharge,20.302056457846447
discharge,42.05639537946945
discharge,47.06697427281631
discharge,4.327821462656516
discharge,131.56521666666652
discharge,194.15791666666678
discharge,192.12701666666658
discharge,182.65113333333352
discharge,210.03624999999988
discharge,264.8922499999999
discharge,342.59159999999997
charge,792.292266656489
charge,758.3663919391473
charge,758.2008386918201
charge,254.07023937904057
charge,35.72767722036508
charge,26.06801543898348
charge,23.62771473350574
charge,6.837866341710765
charge,4.625512562182166
discharge,23.089769573752164
discharge,35.06185851912096
discharge,37.89263056256118
discharge,9.458935311538312
discharge,26.5013226320649
discharge,48.54651085642786
discharge,17.817509558489746
charge,28.455381034850006
charge,0.7919272725264364
discharge,50.91312887174945
discharge,25.471592900286282
discharge,29.915576929582357
discharge,53.03842850884644
discharge,38.45104041849959
discharge,281.9925867358982
discharge,690.79
discharge,712.6661999999999
discharge,735.1843166666665
discharge,738.1149999999999
discharge,722.6534333333334
discharge,715.24385
discharge,717.8283333333334
discharge,711.6539833333333
discharge,716.3881333333334
discharge,729.6016666666666
discharge,639.1558301061433
charge,8.320975510466837
charge,17.548221400540342
charge,7.995989509685046
charge,18.774477217349954
discharge,19.159429393167443
discharge,10.690564722660838
charge,777.5730445169622
charge,833.3333333333333
charge,64.0949846026125
charge,781.8194244381282
charge,782.078189481964
