date,t_template,time_start,price_yuan_per_kwh,plan_kwh,final_contract_kwh,natural_plan_kwh,natural_final_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,soc_end_kwh
2025-03-20,94,15:50,0.7823,478.07011348586593,478.07011348586593,446.0873916297095,446.0873916297095,0.0,43.305124963042886,0.0,0.0,10105.316148529273
2025-03-20,95,16:00,0.8055,492.2028679450258,492.2028679450258,478.07011348586593,478.07011348586593,0.0,25.617663485866046,0.0,0.0,10128.372045666552
2025-03-20,96,16:10,0.8271,536.366813671987,536.366813671987,492.2028679450258,492.2028679450258,0.0,0.0,15.121298721640983,0.0,10111.570602642507
2025-03-20,97,16:20,0.8519,595.6332432823115,595.6332432823115,536.366813671987,536.366813671987,0.0,0.0,25.89473632801321,0.0,10082.79867338916
2025-03-20,98,16:30,0.8791,654.2904652187154,654.2904652187154,595.6332432823115,595.6332432823115,0.0,0.0,3.4339733843552267,0.0,10078.983147406543
2025-03-20,99,16:40,0.9024,687.7239575245968,687.7239575245968,654.2904652187154,654.2904652187154,0.0,23.53421521871553,0.0,0.0,10100.163941103387
2025-03-20,100,16:50,0.9163,725.5982301929464,725.5982301929464,687.7239575245968,687.7239575245968,0.0,0.0,1.0115924754031766,0.0,10099.03994946405
2025-03-20,101,17:00,0.9264,778.2099144384944,778.2099144384944,725.5982301929464,725.5982301929464,0.0,0.0,17.126053140386716,0.0,10080.011001530287
2025-03-20,102,17:10,0.9462,832.4014468019,832.4014468019,778.2099144384944,778.2099144384944,0.0,0.0,9.203002228172181,0.0,10069.785443498984
2025-03-20,103,17:20,0.9742,873.3434359766511,873.3434359766511,832.4014468019,832.4014468019,0.0,0.0,10.83100319810012,0.0,10057.750995501096
2025-03-20,104,17:30,0.9862,936.6812075668435,936.6812075668435,873.3434359766511,873.3434359766511,0.0,0.0,0.5117473566822355,0.0,10057.182387327004
2025-03-20,105,17:40,0.9760,1029.0782984572377,1029.0782984572377,936.6812075668435,936.6812075668435,0.0,31.95745756684346,0.0,0.0,10085.944099137163
2025-03-20,106,17:50,1.0742,918.4944371391404,918.4944371391404,1029.0782984572377,1029.0782984572377,0.0,55.98754845723772,0.0,0.0,10136.332892748676
2025-03-20,107,18:00,1.2313,693.2730156235494,713.7841222106823,918.4944371391404,918.4944371391404,0.0,45.49125380580699,0.0,0.0,10177.275021173902
