date,plan_total_kwh,plan_cost_yuan_template,final_contract_total_kwh,adjust_cost_yuan_template,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan_natural,adjust_cost_yuan_natural
2025-08-04,67857.40397177811,43442.71878075483,69667.9993769103,3507.0387568721576,0.0,0.0,46947.21578030826,0.0,1816.8916230192544,6.2962178870781145,8659.413096050748,9421.712357918144,43440.1770234361,3507.0387568721576
2025-08-05,65940.92697552685,42310.33514924108,68408.3204389151,2310.2665300853655,0.0,0.0,44625.37365839186,0.0,2467.3934633882463,0.0,9421.712357918144,8874.34463894925,42315.107128306496,2310.2665300853655
2025-08-06,68648.11969135521,44129.85274454467,72072.17653219822,3138.2264677525327,0.0,0.0,47269.56130967942,111.69090899930825,3424.056840843025,0.0,8874.34463894925,8911.589512765404,44131.33484192689,3138.2264677525327
2025-08-07,68658.57450057124,42559.21981750884,68584.02715687575,2767.4313090505284,0.0,0.0,45399.78000915462,1209.8898730547428,1599.1502834925705,1673.6976271880726,8911.589512765404,8966.645213246702,42632.34870010409,2767.431309050529
2025-08-08,39197.69750606468,22297.648097531364,39898.75122958369,1196.5191045871086,0.0,0.0,23492.812310442427,20191.901377042912,701.0537235190098,0.0,8966.645213246702,9081.645709863446,22296.29320585532,1196.5191045871086
2025-08-09,39187.27300833995,22475.519044269175,39655.44692776456,755.3199462436224,0.0,0.0,23142.905367800064,17193.974314825075,468.17391942460233,0.0,9081.645709863446,8811.972062893758,22387.58542155644,755.3199462436226
2025-08-10,65300.16195394778,42069.184609110656,69092.56902824636,4291.509807731937,0.0,0.0,46374.866299616406,0.0,3792.4070742985887,0.0,8811.972062893758,8993.59261196993,42083.356491884464,4291.509807731938
2025-08-11,64736.03692228434,41296.786496248256,68893.06726401599,4160.040626649534,115.49209319327193,785.4644475297109,46235.29272939953,701.8380737946272,4157.030341731649,6.252776074688882e-13,8993.59261196993,8726.599536860169,41289.78765522029,4160.040626649534
2025-08-12,67058.97123115658,42534.63561172619,72014.29751993401,5441.441730755043,0.0,0.0,47986.56838971996,372.4542434340065,4955.326288777432,0.0,8726.599536860169,8775.437735250773,42545.12665896492,5441.441730755043
2025-08-13,64794.17237247613,41365.323742321256,70833.58887352707,5598.693245872821,0.0,0.0,46952.13054712392,519.4606497416705,6039.416501050935,2.2737367544323206e-13,8775.437735250773,9135.503008917522,41353.4373012511,5598.693245872821
2025-08-14,65455.91297227191,42080.9065818512,69566.98072552771,3766.489409303756,505.85385730043583,2592.176622269947,48519.44434567812,514.1615918051414,4111.067753255814,0.0,9135.503008917522,8840.950438933334,42160.77831410442,3766.4894093037556
2025-08-15,39674.82528585547,22842.893946679294,40042.998177300884,619.2573340653507,23.13494090924587,92.21587446425404,23557.469307150343,19056.582299999995,432.52289556554837,64.35000412013315,8840.950438933334,8892.841497906358,22845.996098620737,619.2573340653507
2025-08-16,39836.82544587097,23003.279712986674,40289.73519640659,1049.0623894447049,10.479771495827162,40.68247294680104,24005.209772753155,19589.824561952508,684.2460626444122,231.3363121087906,8892.841497906358,8776.109175711314,22915.464910361647,1049.0623894447049
2025-08-17,67383.44923681607,42567.4168593333,67696.20802848227,1560.0735153034743,52.20627845197839,350.2917864148174,44483.73072631645,628.546888080493,865.6056272648682,552.8468355986598,8776.109175711314,8896.192110979215,42573.36542459815,1560.0735153034743
2025-08-18,66388.86474677964,42531.909702707984,68507.49112207867,2630.349249588491,34.683499955442926,235.54891107791605,45395.21485367787,23.887893950808802,2118.6263752990308,0.0,8896.192110979215,9059.021307806663,42529.31669301146,2630.349249588491
2025-08-19,65295.00814411626,42022.96109966632,68439.01607962094,2888.5582041055077,168.8316991134094,924.4240670915142,45845.526109980354,639.4869027858244,3144.0079355046737,1.9326762412674725e-12,9059.021307806663,8892.475296768222,42032.54383878333,2888.5582041055072
2025-08-20,69042.58026650004,43530.01882199041,73571.6707529618,6205.711899298116,840.4994204434677,4545.134527742199,54267.86393795441,33.66510472050879,4529.090486461764,0.0,8892.475296768222,8736.0218957812,43517.0175109141,6205.711899298116
2025-08-21,68581.29608237992,43427.62419095899,69544.19285401271,1443.5660999897113,101.03406718222399,535.8215878408972,45482.25662021432,0.0,962.8967716327962,0.0,8736.0218957812,8816.370879832666,43502.86893238372,1443.5660999897113
2025-08-22,39990.53224075072,23059.494781968817,40796.98182896482,1345.531010251226,202.20830794241596,976.6484488121915,25386.118052988382,16045.344188311512,806.4495882140982,0.0,8816.370879832666,8732.599806626435,23063.938593924962,1345.531010251226
2025-08-23,39687.20821808549,22753.668910388238,40597.37667730742,1340.9936928471564,0.0,0.0,24015.07760702204,14253.599344549642,910.168459221918,0.0,8732.599806626435,8806.274815278572,22674.083914174884,1340.9936928471564
2025-08-24,68180.1328446056,43822.23482089388,69518.26095605416,1689.745732995093,0.0,0.0,45510.58582651702,1481.2111475046752,1338.1281114485705,0.0,8806.274815278572,9096.486980878111,43820.840093521925,1689.745732995093
2025-08-25,77035.83088077194,47458.00836979717,75003.5973560148,700.2946001977562,5.025955491609784,19.51075921842918,48176.2326323532,344.18764566335335,81.68383318586211,2113.9173579430203,9096.486980878111,8988.745662127767,47456.42727293702,700.2946001977563
2025-08-26,68786.648743607,44268.09724276073,70051.2699138674,1492.571078202255,0.0,0.0,45779.83995064931,88.75855723134782,1264.621170260393,1.0231815394945443e-12,8988.745662127767,9461.488874264958,44287.26887244705,1492.5710782022552
2025-08-27,68917.03005921857,44173.30477247758,72058.09599534151,2818.646442596437,3.4954032303538725,24.383932934948614,46993.25586608066,597.4748493934693,3141.0659361229555,0.0,9461.488874264958,8898.707098404047,44150.225490549274,2818.6464425964373
2025-08-28,69387.69068906391,44122.00056313221,74989.10819385061,6004.248571173749,164.1114103714453,686.3634652112394,50890.118856553825,32.66682350346082,5601.417504786696,0.0,8898.707098404047,9073.56633405206,44199.50682016884,6004.248571173748
2025-08-29,41312.48346094996,24176.11741731342,41311.29623162382,0.46438475091928955,0.0,0.0,24185.253393960298,15068.136680032894,0.0,1.1872293261390503,9073.56633405206,9016.286748050079,24184.78900920938,0.46438475091928955
2025-08-30,40674.53942537161,23692.83258166461,40972.108593072655,439.88072700557393,0.0,0.0,24074.20214642031,19042.738296153995,298.1969225490591,0.6277548480034234,9016.286748050079,8762.548801565961,23634.321419414737,439.88072700557393
2025-08-31,68819.6437753017,44264.33727883431,71162.89969271114,2908.734962916724,0.0,0.0,47162.37825545649,34.012008758421416,2343.255917409451,0.0,8762.548801565961,9197.530250061609,44253.64329253977,2908.7349629167243
