date,interval_index,scenario_id,scenario_net_kwh,center_forecast_kwh,actual_net_kwh
2025-03-20,56,1,97.567742,220.373017,150.518367
2025-03-20,57,1,150.678125,209.697917,77.185417
2025-03-20,58,1,111.423183,171.376367,36.09475
2025-03-20,59,1,50.574667,149.003267,41.25735
2025-03-20,60,1,1.405417,141.245833,45.207083
2025-03-20,61,1,-67.280617,110.283925,-16.20875
2025-03-20,62,1,-101.355717,90.944508,-54.7878
2025-03-20,63,1,-119.174583,49.227083,-67.5775
2025-03-20,64,1,-89.879317,10.511158,-135.713067
2025-03-20,65,1,-104.096825,-25.382133,-183.836567
2025-03-20,66,1,-160.43125,-61.77875,-163.85
2025-03-20,67,1,-123.91475,-70.5651,-109.937383
2025-03-20,68,1,-112.037392,-92.892875,-109.84115
2025-03-20,69,1,-137.21125,-124.559375,-159.577083
2025-03-20,70,1,-103.341183,-122.245042,-180.267617
2025-03-20,71,1,-144.924767,-129.075067,-209.235117
2025-03-20,72,1,-252.441042,-164.6375,-275.021667
2025-03-20,73,1,-267.410525,-201.7348,-354.021317
2025-03-20,74,1,-246.715092,-210.999933,-372.5568
2025-03-20,75,1,-237.950417,-201.429167,-304.28375
2025-03-20,76,1,-230.613,-203.657883,-199.829433
2025-03-20,77,1,-240.576258,-183.293333,-173.098233
2025-03-20,78,1,-230.103333,-135.312708,-195.736667
2025-03-20,79,1,-144.945925,-93.066775,-138.075567
2025-03-20,80,1,-100.939142,-59.483783,-90.300383
2025-03-20,81,1,-85.057083,-35.728125,-95.11875
2025-03-20,82,1,19.148975,-24.175792,-102.199117
2025-03-20,83,1,38.90535,-31.106158,-104.792733
2025-03-20,84,1,0.588958,-10.105417,-86.655
2025-03-20,85,1,23.520942,14.268817,-28.355233
2025-03-20,86,1,77.85665,42.635467,18.5539
2025-03-20,87,1,124.233958,78.435208,39.517083
2025-03-20,88,1,182.408175,142.078108,70.293283
2025-03-20,89,1,228.876367,187.433508,126.358517
2025-03-20,90,1,269.062917,220.675417,180.644167
2025-03-20,91,1,319.2236,278.436567,197.318567
2025-03-20,92,1,359.702742,333.349967,248.806767
2025-03-20,93,1,366.302708,361.46625,340.1425
2025-03-20,94,1,420.841608,407.896542,402.782267
2025-03-20,95,1,462.599467,448.217208,452.45245
2025-03-20,96,1,514.779792,504.766667,507.324167
2025-03-20,97,1,572.177575,550.012583,562.26155
2025-03-20,98,1,614.980183,616.401542,599.067217
2025-03-20,99,1,640.385,687.497708,630.75625
2025-03-20,100,1,682.286358,728.835483,688.73555
2025-03-20,101,1,725.185492,773.434717,742.724283
2025-03-20,102,1,744.6425,824.959583,787.412917
2025-03-20,103,1,775.47685,887.901767,843.23245
2025-03-20,104,1,833.20145,919.476667,873.855183
2025-03-20,105,1,980.52,994.756458,904.72375
2025-03-20,106,1,1073.318117,1046.172842,973.09075
2025-03-20,107,1,959.34125,928.840025,873.003183
2025-03-20,108,1,738.589167,715.2775,682.353333
2025-03-20,109,1,696.567117,693.439208,697.997283
2025-03-20,110,1,716.116992,728.01295,739.308217
2025-03-20,111,1,714.68,736.203333,709.241667
2025-03-20,112,1,720.432033,733.22685,714.422817
2025-03-20,113,1,735.823042,720.181425,744.974333
2025-03-20,114,1,727.7,708.436667,763.206667
2025-03-20,115,1,683.051717,708.966792,746.718033
2025-03-20,116,1,686.018867,720.005933,714.2555
2025-03-20,117,1,713.4825,719.5425,699.463333
2025-03-20,118,1,737.870675,725.050642,721.8114
2025-03-20,119,1,721.261517,714.400725,728.491
2025-03-20,120,1,697.125833,704.648333,726.368333
2025-03-20,121,1,727.254433,728.9078,764.336517
2025-03-20,122,1,740.225042,732.816033,753.943817
2025-03-20,123,1,725.853333,724.384167,702.561667
2025-03-20,124,1,729.049433,724.059058,709.374483
2025-03-20,125,1,762.411092,736.002092,719.835983
2025-03-20,126,1,773.95,745.966667,709.541667
2025-03-20,127,1,751.084517,739.2126,715.044683
2025-03-20,128,1,723.118583,729.781992,736.4506
2025-03-20,129,1,728.494167,727.069167,758.933333
2025-03-20,130,1,713.241983,737.4129,754.375467
2025-03-20,131,1,627.232583,659.162242,666.937533
2025-03-20,132,1,531.695,539.903333,553.156667
2025-03-20,133,1,526.322967,533.531175,538.901467
2025-03-20,134,1,559.8329,558.192842,553.3285
2025-03-20,135,1,563.981667,558.320833,542.64
2025-03-20,136,1,567.790142,553.707817,524.0221
2025-03-20,137,1,570.579858,556.852742,526.969567
2025-03-20,138,1,591.008333,566.254167,549.4
2025-03-20,139,1,604.000958,582.934308,559.40135
2025-03-20,140,1,590.3559,570.857708,543.627933
2025-03-20,141,1,561.146667,554.2225,544.621667
2025-03-20,142,1,551.349567,555.695642,600.679333
2025-03-20,143,1,520.001242,504.754608,540.978183
2025-03-20,0,2,605.323333,576.600833,568.418333
2025-03-20,1,2,605.15865,569.979133,549.844817
2025-03-20,2,2,584.116292,575.0196,570.3135
2025-03-20,3,2,571.840833,584.253333,613.851667
2025-03-20,4,2,570.2092,584.748725,579.456167
2025-03-20,5,2,580.847533,597.524358,550.444917
2025-03-20,6,2,581.288333,594.001667,571.156667
2025-03-20,7,2,630.435092,604.236775,601.58905
2025-03-20,8,2,605.834375,590.7587,611.48375
2025-03-20,9,2,544.8175,573.410833,598.216667
2025-03-20,10,2,556.3589,581.486017,583.93595
2025-03-20,11,2,573.92515,591.350417,590.99505
2025-03-20,12,2,572.963333,585.080833,598.443333
2025-03-20,13,2,546.817683,579.469617,565.983617
2025-03-20,14,2,515.11055,582.373433,546.120767
2025-03-20,15,2,498.551667,600.056667,565.713333
2025-03-20,16,2,517.035058,596.951,597.926567
2025-03-20,17,2,560.0868,610.932458,600.954467
2025-03-20,18,2,574.314167,619.6675,587.131667
2025-03-20,19,2,571.457767,596.932,605.2103
2025-03-20,20,2,538.701333,579.717325,621.892383
