time_label,price_yuan_per_kwh,load_kw,pv_kw,net_kw,net_kwh
21:30,0.9371,4322.6758,0.0,4322.6758,720.445967
21:40,0.9871,4428.8083,0.0,4428.8083,738.134717
21:50,0.7764,4030.1614,0.0,4030.1614,671.693567
22:00,0.4209,3362.7419,0.0,3362.7419,560.456983
22:10,0.3859,3309.3934,0.0,3309.3934,551.565567
22:20,0.4368,3412.9563,0.0,3412.9563,568.82605
22:30,0.4198,3381.9313,0.0,3381.9313,563.655217
22:40,0.4186,3386.5592,0.0,3386.5592,564.426533
22:50,0.4241,3400.4846,0.0,3400.4846,566.747433
23:00,0.4237,3399.2426,0.0,3399.2426,566.540433
23:10,0.4248,3406.9809,0.0,3406.9809,567.83015
23:20,0.424,3416.1518,0.0,3416.1518,569.358633
23:30,0.422,3421.9811,0.0,3421.9811,570.330183
23:40,0.424,3429.6923,0.0,3429.6923,571.615383
23:50,0.4271,3439.061,0.0,3439.061,573.176833
24:00,0.4276,3444.7259,0.0,3444.7259,574.120983
