variant,date,plan_total_kwh,plan_cost_yuan_template,final_contract_total_kwh,adjust_cost_yuan_template,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh,soc_start_kwh,soc_end_kwh,natural_day_plan_cost_yuan,natural_day_adjust_cost_yuan
2,2025-07-30,78517.44535562673,58914.4472956306,78517.44535562673,0.0,0.0,0.0,58922.04077728975,451.0219539370728,0.0,0.0,1881.8923082340275,1941.1416209506924,58922.04077728975,0.0
2,2025-07-31,79028.9890348167,58620.876099713445,79028.9890348167,0.0,21.67531666666673,178.50707040833387,58944.88786567151,513.3535648509047,0.0,0.0,1941.1416209506924,1805.6270037979193,58766.380795263176,0.0
2,2025-08-01,48790.32035015784,28734.456475065283,48790.32035015784,0.0,0.0,0.0,28754.856821856396,22390.79953222737,0.0,0.0,1805.6270037979193,4628.949590717593,28754.856821856396,0.0
2,2025-08-02,45541.37735495576,27093.102802386697,45541.37735495576,0.0,0.0,0.0,26873.593830699196,22673.263079365075,0.0,0.0,4628.949590717593,4499.800081822133,26873.593830699196,0.0
2,2025-08-03,75065.00917912446,54333.00260401804,75065.00917912446,0.0,257.7376382808631,1384.3387373468872,55798.756461677425,12539.594690285603,0.0,0.0,4499.800081822133,1431.2862420000001,54414.41772433054,0.0
2,2025-08-04,79941.5956903118,58451.69009178836,79941.5956903118,0.0,0.0,0.0,58379.758694455035,9725.864359156383,0.0,0.0,1431.2862420000001,2952.56391075648,58379.758694455035,0.0
2,2025-08-05,78301.88984127514,56856.849487912,78301.88984127514,0.0,0.0,0.0,56908.07044807662,10771.480597216052,0.0,0.0,2952.56391075648,2072.9574049436224,56908.07044807662,0.0
2,2025-08-06,77733.31004045918,57301.81674575686,77733.31004045918,0.0,0.0,0.0,57289.47473492557,6398.18419409182,0.0,0.0,2072.9574049436224,1981.4965851851816,57289.47473492557,0.0
2,2025-08-07,77693.37097406649,56453.495239838565,77693.37097406649,0.0,7.925141666666605,69.03590905833279,56703.297132396896,10916.11074081033,0.0,0.0,1981.4965851851816,1933.9768363042997,56634.261223338566,0.0
2,2025-08-08,39480.157571040916,21842.7435096257,39480.157571040916,0.0,0.0,0.0,21816.0153001257,21071.1136152971,0.0,0.0,1933.9768363042997,2044.3952075768523,21816.0153001257,0.0
2,2025-08-09,38409.00861294677,21798.158259007796,38409.00861294677,0.0,0.0,0.0,21657.02322317446,17420.676660596702,0.0,0.0,2044.3952075768523,1574.8416189472732,21657.02322317446,0.0
2,2025-08-10,66177.56459526296,49947.53263619695,66177.56459526296,0.0,2142.649164618621,17951.284317014928,67897.9724755452,57.63849166666671,0.0,0.0,1574.8416189472732,1398.1078260185175,49946.688158530276,0.0
2,2025-08-11,67600.25157475236,49514.15839249201,67600.25157475236,0.0,766.8842527177503,5775.831793037783,55325.74545469646,60.06745833333355,0.0,0.0,1398.1078260185175,1414.111345392815,49549.91366165868,0.0
2,2025-08-12,70227.38823374957,51931.55971281101,70227.38823374957,0.0,1149.379768072272,9420.945508659697,61310.94603497071,239.4333666666663,0.0,0.0,1414.111345392815,1300.0250496997496,51890.000526311014,0.0
2,2025-08-13,70086.05284712007,51782.437132651125,70086.05284712007,0.0,184.3394342977509,1130.2810397315563,52886.425538716016,366.27986269795986,0.0,0.0,1300.0250496997496,1523.3094736111111,51756.14449898446,0.0
2,2025-08-14,70450.32774307553,52381.921678331026,70450.32774307553,0.0,1183.7021846666644,6951.484399201028,59522.80008161538,2090.000949382714,0.0,0.0,1523.3094736111111,1429.8960879462954,52571.31568241435,0.0
2,2025-08-15,37960.90817569982,21186.85656550149,37960.90817569982,0.0,693.9790488554808,2364.8546872511597,23525.792163169317,19107.97229847814,0.0,0.0,1429.8960879462954,1343.3443963490745,21160.937475918156,0.0
2,2025-08-16,38492.98190388065,21807.863254742137,38492.98190388065,0.0,340.65739950000096,1079.1010630681697,22776.42463647697,19137.14643333333,0.0,0.0,1343.3443963490745,1501.7196040963634,21697.3235734088,0.0
2,2025-08-17,66002.24156939582,49102.59199172177,66002.24156939582,0.0,760.1580072532531,6512.162630395873,55556.28657120098,8.900125000000116,0.0,0.0,1501.7196040963634,1539.8966207814096,49044.123940805104,0.0
2,2025-08-18,67927.60234262544,50736.78764187753,67927.60234262544,0.0,313.4013944741469,2732.6332173991186,53508.500050026654,0.0,0.0,0.0,1539.8966207814096,1530.0434941712397,50775.86683262754,0.0
2,2025-08-19,68337.60905842893,50764.6329645696,68337.60905842893,0.0,37.07589421994281,185.49135324412458,50951.34542931373,592.1778326739218,0.0,0.0,1530.0434941712397,1375.1596499199948,50765.854076069605,0.0
2,2025-08-20,69160.46554705204,51847.122293553635,69160.46554705204,0.0,4682.505085899842,35193.68850307056,87018.39856329086,118.89235833333294,0.0,0.0,1375.1596499199948,1222.2538141563787,51824.710060220306,0.0
2,2025-08-21,67974.82311422075,50409.43466438043,67974.82311422075,0.0,1210.6974609653582,10063.636617607162,60616.46838607093,0.0,0.0,0.0,1222.2538141563787,1308.9778273416669,50552.831768463766,0.0
2,2025-08-22,38444.662509245565,21690.290928583137,38444.662509245565,0.0,1034.8800398112749,5746.657333690774,27465.92828069058,15811.607683333332,0.0,0.0,1308.9778273416669,1205.5182247222224,21719.270946999804,0.0
2,2025-08-23,38611.19343047314,21394.503207221474,38611.19343047314,0.0,307.19792402265693,1354.1301066595947,22597.74271334373,13852.736166666666,0.0,0.0,1205.5182247222224,1200.0,21243.612606684135,0.0
2,2025-08-24,66024.92484522561,49393.941372800175,66024.92484522561,0.0,1824.1508607366704,13929.34133525391,63320.812661758086,263.53933333333356,0.0,0.0,1200.0,1352.3142370296273,49391.47132650418,0.0
2,2025-08-25,71527.70867910927,52727.26552945441,71527.70867910927,0.0,2745.4212657939834,22955.75339519538,75707.4362791254,61.842475000000036,0.0,0.0,1352.3142370296273,1463.9516027333334,52751.68288393002,0.0
2,2025-08-26,71880.60325137859,52465.0360233368,71880.60325137859,0.0,0.0,0.0,52472.21681158849,2216.4901869341616,0.0,0.0,1463.9516027333334,1721.5124059611123,52472.21681158849,0.0
2,2025-08-27,75068.16544942785,54296.79097891936,75068.16544942785,0.0,0.0,0.0,54266.58374552538,3576.0701727140854,0.0,0.0,1721.5124059611123,1366.001432742592,54266.58374552538,0.0
2,2025-08-28,72439.65000240535,52897.10018994972,72439.65000240535,0.0,2050.7917525299945,16855.75093370981,69927.52307224287,122.29021666666642,0.0,0.0,1366.001432742592,1302.588861666666,53071.77213853306,0.0
2,2025-08-29,39300.43203352723,21872.16327413792,39300.43203352723,0.0,248.7386545209181,746.0312458823375,22647.916550436927,14485.596469958848,0.0,0.0,1302.588861666666,1200.0,21901.885304554587,0.0
2,2025-08-30,39267.500282921814,22110.671516882685,39267.500282921814,0.0,431.88111732407117,1297.5455978283633,23225.127106294385,18630.090507294328,0.0,0.0,1200.0,1200.0,21927.58150846602,0.0
2,2025-08-31,71737.59599704464,51750.77925316181,71737.59599704464,0.0,37.3166333333335,144.02030245416773,51963.79914869931,471.63194551926966,0.0,0.0,1200.0,1700.5536693109416,51819.77884624514,0.0
2,2025-09-01,73535.34538657154,47604.12605947008,73535.34538657154,0.0,0.0,0.0,47644.832441386745,12733.236811291157,0.0,0.0,1700.5536693109416,5433.9199002669975,47644.832441386745,0.0
2,2025-09-02,68981.24683251727,45602.83254011793,68981.24683251727,0.0,0.0,0.0,45583.603475087526,11497.704968698556,0.0,0.0,5433.9199002669975,5421.014473333334,45583.603475087526,0.0
2,2025-09-03,71337.75478400971,48181.91077227403,71337.75478400971,0.0,0.0,0.0,48165.17543905445,13099.477971910483,0.0,0.0,5421.014473333334,5131.6918157009295,48165.17543905445,0.0
2,2025-09-04,69778.46068245218,46476.89143195304,69778.46068245218,0.0,0.0,0.0,46565.891706953036,12409.089271213501,0.0,0.0,5131.6918157009295,5414.2269809083355,46565.891706953036,0.0
2,2025-09-05,35397.55776691632,17791.077444763043,35397.55776691632,0.0,0.0,0.0,17816.98709576304,25969.53920111179,0.0,0.0,5414.2269809083355,5667.979168902606,17816.98709576304,0.0
2,2025-09-06,34999.58787015741,17797.14356580008,34999.58787015741,0.0,0.0,0.0,17672.138472800085,24361.566680609885,0.0,0.0,5667.979168902606,6104.8362782906215,17672.138472800085,0.0
2,2025-09-07,62433.57425591165,42659.98643265213,62433.57425591165,0.0,0.0,0.0,42671.1646698188,4016.472915284977,0.0,0.0,6104.8362782906215,6174.377770569271,42671.1646698188,0.0
2,2025-09-08,55547.27072554546,37743.097610295896,55547.27072554546,0.0,2664.801019850821,17024.979145034667,54764.89087866389,0.0,0.0,0.0,6174.377770569271,2340.2596336111105,37739.911733629226,0.0
2,2025-09-09,57431.61079980568,37792.928526828946,57431.61079980568,0.0,624.7535441685851,4152.434696527631,41999.872589864084,2138.337880761319,0.0,0.0,2340.2596336111105,1328.641428055555,37847.43789333645,0.0
2,2025-09-10,60700.58594995605,40040.25937553741,60700.58594995605,0.0,3997.12256196062,26155.293418476307,66192.72209019621,114.89727499999958,0.0,0.0,1328.641428055555,1266.1090688600648,40037.4286717199,0.0
2,2025-09-11,60384.94446057891,39382.80320410257,60384.94446057891,0.0,0.0,0.0,39477.115883818406,3035.0207651050314,0.0,0.0,1266.1090688600648,1331.3922699074114,39477.115883818406,0.0
2,2025-09-12,31086.40136268978,13867.361898339323,31086.40136268978,0.0,548.1473330269157,1656.032213703855,15548.247178470674,17388.28872685185,0.0,0.0,1331.3922699074114,1250.79375,13892.21496476682,0.0
2,2025-09-13,31073.727511630113,13960.602972721488,31073.727511630113,0.0,289.6214203225015,1146.8570197788845,14974.605323167038,20554.8291,0.0,0.0,1250.79375,1296.7842974902508,13827.748303388153,0.0
2,2025-09-14,62395.661447287566,41012.88113880146,62395.661447287566,0.0,1236.306496896103,7771.0550072705355,48832.53865273866,32.29966666666678,0.0,0.0,1296.7842974902508,1200.0,41061.48364546812,0.0
2,2025-09-15,59913.63085406688,38311.5202545612,59913.63085406688,0.0,2510.0955058446475,13550.303014299607,51830.11446819413,3494.794509979425,0.0,0.0,1200.0,1208.873925,38279.81145389452,0.0
2,2025-09-16,57314.1379923251,37464.422560101724,57314.1379923251,0.0,5450.829964937799,31240.181331533764,68684.32666488548,0.0,0.0,0.0,1208.873925,1200.0,37444.14533335171,0.0
2,2025-09-17,63885.41364874234,41852.38438873242,63885.41364874234,0.0,424.96403395833136,1633.9826246366774,43519.679942869094,471.0409399748545,0.0,0.0,1200.0,1200.0,41885.697318232415,0.0
2,2025-09-18,60483.187453390296,39392.23138316445,60483.187453390296,0.0,2385.7801918076143,14719.2029001777,54176.99670592548,147.52615833333243,0.0,0.0,1200.0,1245.4325270370362,39457.79380574778,0.0
2,2025-09-19,32035.54540204115,14469.948118108856,32035.54540204115,0.0,285.6276161666667,1578.0934493170423,16039.368815092566,13086.290386934155,0.0,0.0,1245.4325270370362,1493.198829444444,14461.275365775524,0.0
2,2025-09-20,32016.13742289197,14193.215889301164,32016.13742289197,0.0,478.6306023333322,1807.6044779197014,15892.276037037065,13643.820858333334,0.0,0.0,1493.198829444444,1862.3227594444443,14084.671559117363,0.0
2,2025-09-21,65075.867964006706,42611.54128142,65075.867964006706,0.0,0.0,0.0,42650.64248238501,3416.68580339506,0.0,0.0,1862.3227594444443,1539.4302259532578,42650.64248238501,0.0
2,2025-09-22,62449.07074408852,40558.82351466189,62449.07074408852,0.0,2691.5023971656806,14965.130077802238,55523.9541302874,911.3033103715134,0.0,0.0,1539.4302259532578,1217.935305,40558.82405248516,0.0
2,2025-09-23,61128.52456064069,39910.10516016076,61128.52456064069,0.0,4599.219429400717,27953.44700304972,67851.07469902268,22.461233333333553,0.0,0.0,1217.935305,1217.693289375,39897.62769597295,0.0
2,2025-09-24,64996.22495532406,42223.55326753357,64996.22495532406,0.0,558.8231049807105,2920.4761478017726,45139.323246731175,465.8690340642912,0.0,0.0,1217.693289375,1354.0636883333334,42218.8470989294,0.0
2,2025-09-25,63866.509157631175,42112.28301339031,63866.509157631175,0.0,449.2792130516966,2588.6863819656555,44827.827590835135,69.02544166666644,0.0,0.0,1354.0636883333334,1200.0,42239.14120886948,0.0
2,2025-09-26,39917.02369485339,18778.212799214663,39917.02369485339,0.0,10.52812500000006,17.1924281250001,18797.91686438133,16675.060394084358,0.0,0.0,1200.0,3969.7323559004676,18780.72443625633,0.0
2,2025-09-27,36938.83185548867,18414.78577308441,36938.83185548867,0.0,0.0,0.0,18307.25240464691,17132.110436521092,0.0,0.0,3969.7323559004676,3463.773412091666,18307.25240464691,0.0
2,2025-09-28,62930.75382096158,41965.523763499674,62930.75382096158,0.0,2238.5210066540317,14225.70865129582,56170.480287233,186.1218937500006,0.0,0.0,3463.773412091666,1390.206444637394,41944.77163593718,0.0
2,2025-09-29,64869.850657602474,42403.78934768228,64869.850657602474,0.0,2174.397023486252,13368.229334667996,55780.7639476836,468.9913395833342,0.0,0.0,1390.206444637394,1397.6766251490749,42412.5346130156,0.0
2,2025-09-30,66524.85271360107,43528.522582353005,66524.85271360107,0.0,2917.9097534766056,18307.318291756994,61886.781345018,181.29267708333333,0.0,0.0,1397.6766251490749,1292.377181299439,43579.463053261,0.0
2,2025-10-01,68983.39446247632,43090.135741078164,68983.39446247632,0.0,0.0,0.0,43037.673950878496,13168.28743454122,0.0,0.0,1292.377181299439,3921.774165856488,43037.673950878496,0.0
2,2025-10-02,63092.73310647352,40231.70676754242,63092.73310647352,0.0,0.0,0.0,40330.37297322992,7878.634710736786,0.0,0.0,3921.774165856488,3905.9560192274166,40330.37297322992,0.0
2,2025-10-03,36076.29310735148,16421.728923118324,36076.29310735148,0.0,0.0,0.0,16468.120351389156,24224.86086981018,0.0,0.0,3905.9560192274166,5503.9142298719935,16468.120351389156,0.0
2,2025-10-04,34927.60035144522,16712.62441027767,34927.60035144522,0.0,0.0,0.0,16579.533637611003,19685.110765869336,0.0,0.0,5503.9142298719935,5310.339650038424,16579.533637611003,0.0
2,2025-10-05,62076.10040625288,39926.58346918867,62076.10040625288,0.0,0.0,0.0,39932.632306147,5989.335987033238,0.0,0.0,5310.339650038424,3345.648717916133,39932.632306147,0.0
2,2025-10-06,64723.61022951936,42158.47583797067,64723.61022951936,0.0,0.0,0.0,42143.103089179,3775.2244521731877,0.0,0.0,3345.648717916133,2944.633932925931,42143.103089179,0.0
2,2025-10-07,65464.41066464042,41981.00077285992,65464.41066464042,0.0,0.0,0.0,41976.30077365159,3287.417672196501,0.0,0.0,2944.633932925931,3610.7124312268556,41976.30077365159,0.0
2,2025-10-08,66088.44695398107,42832.450512123236,66088.44695398107,0.0,0.0,0.0,42822.809640498235,6400.034916358021,0.0,0.0,3610.7124312268556,3307.549344809544,42822.809640498235,0.0
2,2025-10-09,62840.99152901949,40963.947147014536,62840.99152901949,0.0,0.0,0.0,41090.501038347866,3370.0035128765985,0.0,0.0,3307.549344809544,3349.428016263144,41090.501038347866,0.0
2,2025-10-10,30330.409971036475,13118.378476257847,30330.409971036475,0.0,0.0,0.0,13130.423253257846,18707.83138639573,0.0,0.0,3349.428016263144,2929.586768425925,13130.423253257846,0.0
2,2025-10-11,29012.768196850782,12000.653073038531,29012.768196850782,0.0,316.5802573333338,1360.9400033113225,13265.899774016521,14023.231073559673,0.0,0.0,2929.586768425925,1200.0,11904.959770705198,0.0
2,2025-10-12,63286.67385265534,39148.55333418074,63286.67385265534,0.0,22.854166666666597,48.542249999999854,39166.86181518073,706.5809928453444,0.0,0.0,1200.0,1220.8985382716078,39118.31956518073,0.0
2,2025-10-13,63522.86441521769,40115.08335487677,63522.86441521769,0.0,0.0,0.0,40148.5807432101,2219.243657560629,0.0,0.0,1220.8985382716078,1384.7328224074072,40148.5807432101,0.0
2,2025-10-14,65305.146618090424,41600.10123292221,65305.146618090424,0.0,135.11052550000264,686.9682530690136,42301.227496657884,318.7632325794402,0.0,0.0,1384.7328224074072,1550.0919874989556,41614.25924358887,0.0
2,2025-10-15,61148.637235910865,38466.62269356643,61148.637235910865,0.0,4034.3208728738014,25280.832607421424,63734.44622607119,7.486666666666679,0.0,0.0,1550.0919874989556,1247.4818106043485,38453.61361864976,0.0
