date,published_plan_kwh,published_plan_cost_yuan,natural_plan_kwh,natural_plan_cost_yuan,emergency_kwh,emergency_cost_yuan,natural_total_cost_yuan,surplus_kwh,soc_start_kwh,soc_end_kwh,forecast_mae_kwh,weekday_weight,residual_window_days,scenario_count
2025-03-24,66031.72996206017,40190.53417417357,66028.22179914352,40189.0340837104,0.0,0.0,40189.0340837104,3873.6588141975353,1598.6759923513932,1807.3368898148153,69.1523068287037,1.0,14,14
2025-03-25,63421.399194879625,38653.61835705786,63436.20752821296,38659.950400391186,1256.8357411291624,6962.519770509306,45622.470170900495,366.29983333333314,1807.3368898148153,1265.5375123148149,47.884506597222234,1.0,14,14
2025-03-26,62636.26919532241,38124.511783519876,62608.84659847325,38112.78588110718,43.916376367127825,217.54169315732116,38330.3275742645,2663.167211042754,1265.5375123148149,1654.1221736861137,65.86235885416669,1.0,14,14
2025-03-27,63616.33652230418,38804.66458467385,63791.55992542667,38879.59011184902,135.10135643884047,652.988098876421,39532.57821072544,1378.4987333333333,1654.1221736861137,1418.0327496569453,51.872402372685194,1.0,14,14
2025-03-28,28329.176909980964,14527.317090059414,28335.762599957634,14530.133131093437,425.3726513997628,1640.000193596121,16170.133324689557,14833.78802304527,1418.0327496569453,1796.8838391666657,58.619636921296305,1.0,14,14
2025-03-29,28232.5683936821,14405.428870968204,28065.01922701543,14333.784847301537,50.58584763249785,245.81716654040204,14579.602013841939,18280.989652057608,1796.8838391666657,1359.2486843507327,89.39772222222221,1.0,14,14
2025-03-30,62157.03843787837,37752.31930845538,62147.35760454504,37748.179784122054,0.0,0.0,37748.179784122054,2611.3920633446633,1359.2486843507327,1698.5516274060803,72.38145283564816,1.0,14,14
2025-03-31,60872.00015240579,37011.04074455863,60881.14515240579,37014.951146558626,74.23893666666348,468.38370882105914,37483.33485537968,583.4704293527393,1698.5516274060803,1441.5974987157404,54.995130208333336,1.0,14,14
2025-04-01,61158.98066412321,37121.08905499204,61179.51233078988,37129.868395658705,2253.2957844869134,15205.267534739132,52335.13593039784,0.0,1441.5974987157404,1436.8812959590755,54.05528958333334,1.0,14,14
2025-04-02,58411.40432258639,35595.16254741856,58395.26432258639,35588.26108341856,5122.087006018513,31672.125092931805,67260.38617635037,19.592499999999745,1436.8812959590755,1330.2503225925927,52.252409837962965,1.0,14,14
2025-04-03,61085.86095894444,37001.59916989562,61245.274292277776,37069.76431122895,176.09252245473235,873.6128857990846,37943.377197028036,1170.6700555493833,1330.2503225925927,1505.9136169581598,60.95195306712963,1.0,14,14
2025-04-04,27510.195069672,13939.686838203934,27511.448117422005,13940.222641421835,0.0,0.0,13940.222641421835,18213.533054218107,1505.9136169581598,1745.994471349674,64.62083142361112,1.0,14,14
2025-04-05,27476.50864756106,13896.618653574486,27314.420314227726,13827.309682241152,0.0,0.0,13827.309682241152,13199.825525102879,1745.994471349674,1314.423023333331,47.92533645833333,1.0,14,14
2025-04-06,60608.51369864955,36402.113133916035,60601.58815089956,36399.15176969814,0.0,0.0,36399.15176969814,2178.8526632457274,1314.423023333331,1418.321600634814,49.45050364583332,1.0,14,14
2025-04-07,59259.47651650864,35756.229896987934,59269.823338008646,35760.65419786133,0.0,0.0,35760.65419786133,2231.341930894899,1418.321600634814,1446.2593816999997,54.03055619212962,1.0,14,14
2025-04-08,61398.51891929773,36847.90045748998,61402.852252631055,36849.753390823316,239.45879508332706,1158.0466615865867,38007.800052409904,3562.232830838486,1446.2593816999997,1200.0,57.193078935185184,1.0,14,14
2025-04-09,59445.36205215986,35765.728810959576,59435.66871882652,35761.58394162624,3164.122418878026,21068.331373365232,56829.91531499147,102.89995833333398,1200.0,1200.0,36.83838738425926,1.0,14,14
2025-04-10,59365.44871719792,35797.636109749925,59526.94189569792,35866.69059287652,0.0,0.0,35866.69059287652,464.90981821193907,1200.0,1563.406349637963,52.091575636574056,1.0,14,14
2025-04-11,27092.061716115222,13508.874642337318,27083.83254944856,13505.35585067065,0.0,0.0,13505.35585067065,19361.01737047325,1563.406349637963,1360.3515159435192,54.95965908564814,1.0,14,14
2025-04-12,27603.018219682097,13872.296653118334,27441.69655301543,13803.315508451666,0.0,0.0,13803.315508451666,15629.182077057612,1360.3515159435192,1776.1552196406813,49.92125902777778,1.0,14,14
2025-04-13,57155.192871006075,34376.19906977125,57157.8512043394,34377.33577310458,977.8386038757507,6547.6664800202425,40925.002253124825,434.57219907407676,1776.1552196406813,1416.750432441427,35.850754398148155,1.0,14,14
2025-04-14,56826.852532493824,34319.84770345903,56838.99836582715,34325.041261792365,0.0,0.0,34325.041261792365,317.0202625555563,1416.750432441427,1452.7237324999974,49.98947893518519,1.0,14,14
2025-04-15,60305.53594933467,36166.21074734235,60312.80178266801,36169.31761767568,0.0,0.0,36169.31761767568,6269.912238014388,1452.7237324999974,1744.4773978373269,74.95467228009258,1.0,14,14
2025-04-16,59342.70605281789,35727.59086339001,59348.216886151225,35729.94729572334,0.0,0.0,35729.94729572334,207.22566206204436,1744.4773978373269,1541.8133316423036,39.60377980324075,1.0,14,14
