date,time_start,price_yuan_per_kwh,forecast_net_kwh,actual_net_kwh,committed_plan_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,surplus_kwh
2025-07-23,21:00,0.9332,947.1066666666666,953.6416666666667,969.6779166666666,16.036249999999946,0.0,1200.0,1214.432625,0.0,0.0
2025-07-23,21:10,0.9068,956.8958604166666,1010.9710499999999,1018.5709812499998,7.59993124999999,0.0,1214.432625,1221.2725631249998,0.0,0.0
2025-07-23,21:20,0.9371,959.7111729166667,995.9290833333332,1028.2234270833333,32.2943437500001,0.0,1221.2725631249998,1250.3374724999999,0.0,0.0
2025-07-23,21:30,0.9371,955.3039583333332,936.02,995.1020833333332,59.08208333333323,0.0,1250.3374724999999,1303.5113474999998,0.0,0.0
2025-07-23,21:40,0.9871,977.2526479166667,961.5039499999999,983.1654920370373,21.661542037037457,0.0,1303.5113474999998,1323.0067353333336,0.0,0.0
2025-07-23,21:50,0.7764,893.4540104166665,903.0828666666666,932.8846645833332,29.801797916666587,0.0,1323.0067353333336,1349.8283534583336,0.0,0.0
2025-07-23,22:00,0.4209,749.3541666666666,780.5433333333333,777.60875,0.0,2.9345833333332756,1349.8283534583336,1346.5677053101856,0.0,0.0
2025-07-23,22:10,0.3859,772.4935833333334,795.7122833333333,933.4163351394602,137.7040518061269,0.0,1346.5677053101856,1470.5013519356999,0.0,0.0
2025-07-23,22:20,0.4368,809.3110854166666,820.9310833333334,827.3957312499999,6.464647916666584,0.0,1470.5013519356999,1476.3195350606998,0.0,0.0
2025-07-23,22:30,0.4198,783.9729166666666,783.9933333333333,841.2516666666666,57.25833333333321,0.0,1476.3195350606998,1527.8520350606996,0.0,0.0
2025-07-23,22:40,0.4186,775.4360416666666,749.1126999999999,831.0227520833332,81.91005208333331,0.0,1527.8520350606996,1601.5710819356996,0.0,0.0
2025-07-23,22:50,0.4241,754.8726875,759.79745,807.6693895833333,47.87193958333335,0.0,1601.5710819356996,1644.6558275606997,0.0,0.0
2025-07-23,23:00,0.4237,770.5954166666666,775.46,824.2864583333333,48.82645833333322,0.0,1644.6558275606997,1688.5996400606996,0.0,0.0
2025-07-23,23:10,0.4248,767.2511125,725.0839333333333,822.9323229166665,97.84838958333324,0.0,1688.5996400606996,1776.6631906856994,0.0,0.0
2025-07-23,23:20,0.424,758.9505354166665,719.4180333333334,787.0161895833331,67.5981562499997,0.0,1776.6631906856994,1837.5015313106992,0.0,0.0
2025-07-23,23:30,0.422,774.9379166666666,778.7549999999999,822.91875,44.163750000000164,0.0,1837.5015313106992,1877.2489063106993,0.0,0.0
2025-07-23,23:40,0.424,782.4397395833332,808.5554166666667,846.0796583333332,37.5242416666665,0.0,1877.2489063106993,1911.020723810699,0.0,0.0
2025-07-23,23:50,0.4271,766.0091437499999,802.24775,820.7806895833332,18.532939583333228,0.0,1911.020723810699,1927.700369435699,0.0,0.0
2025-07-24,00:00,0.4276,751.7093749999999,783.7083333333333,701.3854166666666,0.0,82.32291666666657,1927.700369435699,1836.2304620282916,0.0,0.0
2025-07-24,00:10,0.4248,758.5288479166666,778.3392999999999,1615.4356916666666,833.3333333333333,0.0,1836.2304620282916,2586.2304620282916,0.0,3.763058333333447
2025-07-24,00:20,0.4245,773.3129604166667,788.9182166666666,1578.1992208333331,789.2810041666665,0.0,2586.2304620282916,3296.5833657782914,0.0,0.0
2025-07-24,00:30,0.4269,768.3649999999999,791.6683333333333,1609.5883333333331,817.9199999999998,0.0,3296.5833657782914,4032.711365778291,0.0,0.0
2025-07-24,00:40,0.4272,753.15710625,762.9597333333332,1597.2602979166668,833.3333333333333,0.0,4032.711365778291,4782.711365778291,0.0,0.9672312500002818
