表,变体,日期,时间段/项目,值1,值2,单位,口径,来源
表1,4-2,2025-06-21,20:00-20:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-06-21,全天购电量,42982.9100,42982.9100,kWh,模板行 00:10→次日00:10,payload
表1,4-2,2025-06-21,全天购电费/元（模板行口径）,22635.7374,0.0000,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-2,2025-06-21,全天购电费/元（自然日口径）,22501.6682,0.0000,元,自然日 00:00–24:00,summary daily
表2,4-2,2025-06-21,0:00-4:00,1343.4021,4.6222,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-06-21,4:00-8:00,3424.3829,1719.9540,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-06-21,8:00-12:00,4085.8948,0.0000,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-06-21,12:00-16:00,0.0000,0.0000,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-06-21,16:00-20:00,0.0000,3701.7838,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-06-21,20:00-24:00,1746.4639,3017.4999,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-06-21,0:00 储电量,4747.8839,,kWh,自然日 00:00–24:00,payload/summary
表2,4-2,2025-06-21,24:00 储电量,4905.9467,,kWh,自然日 00:00–24:00,payload/summary
表3,4-2,2025-06-21,（当日无紧急购电）,0.0000,0.0000,kWh,自然日 00:00–24:00,payload
表3,4-2,2025-06-21,当日紧急购电费/元,0.0000,,元,自然日 00:00–24:00,summary daily
—,4-2,2025-06-21,当日总费用/元,22501.6682,,元,自然日 00:00–24:00,summary daily
表1,4-2,2025-09-23,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-09-23,12:00-12:10,289.3883,289.3883,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-09-23,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-09-23,16:00-16:10,377.9544,377.9544,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-09-23,18:00-18:10,692.3688,692.3688,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-09-23,20:00-20:10,584.5535,584.5535,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-09-23,全天购电量,61128.5246,61128.5246,kWh,模板行 00:10→次日00:10,payload
表1,4-2,2025-09-23,全天购电费/元（模板行口径）,39910.1052,0.0000,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-2,2025-09-23,全天购电费/元（自然日口径）,39897.6277,0.0000,元,自然日 00:00–24:00,summary daily
表2,4-2,2025-09-23,0:00-4:00,7955.3009,189.9737,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-09-23,4:00-8:00,1856.9523,5894.4021,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-09-23,8:00-12:00,2698.9314,1883.0800,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-09-23,12:00-16:00,5999.3565,495.7630,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-09-23,16:00-20:00,0.0000,6546.4612,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-09-23,20:00-24:00,115.2434,77.4232,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-09-23,0:00 储电量,1217.9353,,kWh,自然日 00:00–24:00,payload/summary
表2,4-2,2025-09-23,24:00 储电量,1217.6933,,kWh,自然日 00:00–24:00,payload/summary
表3,4-2,2025-09-23,8:50-10:00,504.8603,,kWh,自然日 00:00–24:00,payload emergency_segments
表3,4-2,2025-09-23,19:40-22:10,3953.8563,,kWh,自然日 00:00–24:00,payload emergency_segments
表3,4-2,2025-09-23,22:30-22:50,67.7861,,kWh,自然日 00:00–24:00,payload emergency_segments
表3,4-2,2025-09-23,23:20-23:50,72.7168,,kWh,自然日 00:00–24:00,payload emergency_segments
表3,4-2,2025-09-23,分段合计,4599.2194,4599.2194,kWh,自然日 00:00–24:00,payload（分段之和 vs 逐日合计）
表3,4-2,2025-09-23,当日紧急购电费/元,27953.4470,,元,自然日 00:00–24:00,summary daily
—,4-2,2025-09-23,当日总费用/元,67851.0747,,元,自然日 00:00–24:00,summary daily
表1,4-2,2025-12-21,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-12-21,12:00-12:10,1028.1203,1028.1203,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-12-21,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-12-21,16:00-16:10,843.4374,843.4374,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-12-21,18:00-18:10,697.3690,697.3690,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-12-21,20:00-20:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
