policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18,2025-02-19,17:40,0.976,1025.7288916666666,1025.7288916666666,0.0,0.0,3.5067861111110687,10796.801429012345,10792.904999999999,1027.4698166666667,0.0,1.7658611111110076
6+12+18,2025-02-19,17:50,1.0742,905.9844722222224,905.9844722222224,0.0,0.0,0.0,10792.904999999999,10792.904999999999,884.4447499999999,0.0,21.539722222222508
6+12+18,2025-02-19,18:00,1.2313,715.3608333333332,715.3608333333332,0.0,3.629383333333408,0.0,10792.904999999999,10796.171444999998,706.5966666666666,0.0,5.134783333333189
6+12+18,2025-02-19,18:10,1.2561,711.918025,711.918025,0.0,0.5910416666666833,0.0,10796.171444999998,10796.703382499998,709.4541166666666,0.0,1.8728666666667095
6+12+18,2025-02-19,18:20,1.2447,727.3611000000001,727.3611000000001,0.0,0.0,0.85929524999774,10796.703382499998,10795.74861,731.5067333333333,3.2863380833354086,0.0
6+12+18,2025-02-19,18:30,1.2545,709.4000000000001,709.4000000000001,0.0,4.723766666666734,0.0,10795.74861,10800.0,705.3216666666667,0.645433333333358,0.0
6+12+18,2025-02-19,18:40,1.2522,731.5799333333333,731.5799333333333,0.0,0.0,-0.0,10800.0,10800.0,718.7579166666666,0.0,12.822016666666741
6+12+18,2025-02-19,18:50,1.2881,104.68460000000016,104.68460000000016,0.0,0.0,634.3028722222218,10800.0,10095.219030864198,716.2205999999999,0.0,22.766872222222105
6+12+18,2025-02-19,19:00,1.3466,0.0,0.0,0.0,0.0,715.4925,10095.219030864198,9300.227364197532,694.8366666666667,0.0,20.65583333333325
6+12+18,2025-02-19,19:10,1.3523,0.0,0.0,0.0,0.0,735.8295249999999,9300.227364197532,8482.63900308642,716.97415,0.0,18.855374999999867
6+12+18,2025-02-19,19:20,1.3445,0.0,0.0,0.0,0.0,750.9043333333334,8482.63900308642,7648.300854938272,743.9564333333333,0.0,6.947900000000118
6+12+18,2025-02-19,19:30,1.3483,0.0,0.0,0.0,0.0,740.2533333333332,7648.300854938272,6825.797151234568,738.6116666666667,0.0,1.6416666666665378
6+12+18,2025-02-19,19:40,1.349,0.0,0.0,0.0,0.0,730.8651416666667,6825.797151234568,6013.724771604939,708.2579666666667,0.0,22.607174999999984
6+12+18,2025-02-19,19:50,1.3473,0.0,0.0,0.0,0.0,716.3254416666666,6013.724771604939,5217.807614197532,722.6136666666666,6.288225000000011,0.0
6+12+18,2025-02-19,20:00,1.3482,0.0,0.0,0.0,0.0,726.2275000000001,5217.807614197532,4410.888169753087,764.94,38.71249999999998,0.0
6+12+18,2025-02-19,20:10,1.3513,0.0,0.0,0.0,0.0,731.349175,4410.888169753087,3598.2779753086425,749.8440333333333,18.494858333333354,0.0
6+12+18,2025-02-19,20:20,1.34,0.0,0.0,0.0,0.0,716.5654444444452,3598.2779753086425,2802.0941481481477,722.3508499999999,5.785405555554689,0.0
6+12+18,2025-02-19,20:30,1.3489,0.0,0.0,0.0,0.0,714.7749999999999,2802.0941481481477,2007.8997037037034,716.4066666666665,1.6316666666666606,0.0
6+12+18,2025-02-19,20:40,1.3952,0.0,0.0,0.0,0.0,727.1097333333332,2007.8997037037034,1199.9999999999998,722.0165499999999,0.0,5.093183333333286
6+12+18,2025-02-19,20:50,1.2226,725.3982166666666,725.3982166666666,0.0,0.0,-0.0,1199.9999999999998,1199.9999999999998,732.5018333333334,7.103616666666767,0.0
6+12+18,2025-02-19,21:00,0.9332,736.0408333333332,736.0408333333332,0.0,0.0,0.0,1199.9999999999998,1199.9999999999998,739.665,3.6241666666667243,0.0
6+12+18,2025-02-19,21:10,0.9068,713.2778499999997,713.2778499999997,0.0,-0.0,0.0,1199.9999999999998,1199.9999999999998,737.7289333333333,24.4510833333336,0.0
6+12+18,2025-02-19,21:20,0.9371,724.2605499999997,724.2605499999997,0.0,0.0,0.0,1199.9999999999998,1199.9999999999998,741.3825833333333,17.122033333333547,0.0
6+12+18,2025-02-19,21:30,0.9371,757.0024999999998,757.0024999999998,0.0,0.0,0.0,1199.9999999999998,1199.9999999999998,757.3516666666666,0.349166666666747,0.0
6+12+18,2025-02-19,21:40,0.9871,786.5300583333333,786.5300583333333,0.0,0.0,0.0,1199.9999999999998,1199.9999999999998,764.8464833333334,0.0,21.683574999999905
6+12+18,2025-02-19,21:50,0.7764,699.820225,699.820225,0.0,0.0,-0.0,1199.9999999999998,1199.9999999999998,690.8066,0.0,9.013625000000047
6+12+18,2025-02-19,22:00,0.4209,550.8608333333332,550.8608333333332,0.0,4.233333333333235,0.0,1199.9999999999998,1203.8099999999997,570.8916666666667,24.26416666666671,0.0
6+12+18,2025-02-19,22:10,0.3859,545.9798999999999,545.9798999999999,0.0,-0.0,0.0,1203.8099999999997,1203.8099999999997,528.4698,0.0,17.510099999999966
6+12+18,2025-02-19,22:20,0.4368,550.6017999999999,550.6017999999999,0.0,0.0,0.0,1203.8099999999997,1203.8099999999997,550.7946166666666,0.19281666666665842,0.0
6+12+18,2025-02-19,22:30,0.4198,559.2674999999999,559.2674999999999,0.0,10.088333333333367,0.0,1203.8099999999997,1212.8894999999998,581.2633333333333,32.08416666666676,0.0
6+12+18,2025-02-19,22:40,0.4186,560.2532333333334,560.2532333333334,0.0,0.3288083333333134,0.0,1212.8894999999998,1213.1854274999998,575.2574166666666,15.332991666666544,0.0
6+12+18,2025-02-19,22:50,0.4241,566.800775,566.800775,0.0,0.0,0.0,1213.1854274999998,1213.1854274999998,568.07885,1.2780749999999443,0.0
6+12+18,2025-02-19,23:00,0.4237,567.8141666666664,567.8141666666664,0.0,0.0,0.0,1213.1854274999998,1213.1854274999998,570.05,2.2358333333335167,0.0
6+12+18,2025-02-19,23:10,0.4248,576.4045249999999,576.4045249999999,0.0,0.0,0.0,1213.1854274999998,1213.1854274999998,555.5483833333333,0.0,20.856141666666645
6+12+18,2025-02-19,23:20,0.424,579.0827583333333,579.0827583333333,0.0,0.0,0.0,1213.1854274999998,1213.1854274999998,536.0371666666666,0.0,43.04559166666672
6+12+18,2025-02-19,23:30,0.422,573.3175,573.3175,0.0,0.0,3.4174999999999045,1213.1854274999998,1209.3882052777776,547.5966666666666,0.0,29.13833333333332
6+12+18,2025-02-19,23:40,0.424,558.3253500000001,558.3253500000001,0.0,0.0,0.0,1209.3882052777776,1209.3882052777776,609.1440166666666,50.81866666666656,0.0
6+12+18,2025-02-19,23:50,0.4271,560.1483666666667,560.1483666666667,0.0,0.0,0.0,1209.3882052777776,1209.3882052777776,617.4177833333333,57.26941666666664,0.0
6+12+18,2025-02-20,00:00,0.4276,550.6708333333332,550.6708333333332,0.0,-0.0,0.0,1209.3882052777776,1209.3882052777776,572.1583333333333,21.487500000000068,0.0
6+12+18,2025-02-20,00:10,0.4248,1422.391475,1422.391475,0.0,833.3333333333333,0.0,1209.3882052777776,1959.3882052777776,573.0142333333333,0.0,16.04390833333332
6+12+18,2025-02-20,00:20,0.4245,1436.2134583333332,1436.2134583333332,0.0,833.3333333333333,0.0,1959.3882052777776,2709.3882052777776,586.3157333333334,0.0,16.564391666666552
6+12+18,2025-02-20,00:30,0.4269,1423.645,1423.645,0.0,833.3333333333333,0.0,2709.3882052777776,3459.3882052777776,586.5266666666666,0.0,3.785000000000082
6+12+18,2025-02-20,00:40,0.4272,1439.272225,1439.272225,0.0,833.3333333333333,0.0,3459.3882052777776,4209.388205277777,589.8363166666666,0.0,16.102575000000115
6+12+18,2025-02-20,00:50,0.4271,1461.1851666666664,1461.1851666666664,0.0,833.3333333333333,0.0,4209.388205277777,4959.388205277777,606.7547166666666,0.0,21.09711666666658
6+12+18,2025-02-20,01:00,0.4285,1469.2308333333333,1469.2308333333333,0.0,833.3333333333333,0.0,4959.388205277777,5709.388205277777,626.5466666666666,0.0,9.350833333333412
6+12+18,2025-02-20,01:10,0.4311,1262.3914774691366,1262.3914774691366,0.0,656.2353274691365,0.0,5709.388205277777,6300.0,624.6996666666666,18.543516666666505,0.0
6+12+18,2025-02-20,01:20,0.4302,1443.1323416666667,1443.1323416666667,0.0,833.3333333333333,0.0,6300.0,7050.0,599.9708333333333,0.0,9.828175000000101
6+12+18,2025-02-20,01:30,0.4279,1440.055,1440.055,0.0,833.3333333333333,0.0,7050.0,7800.0,579.085,0.0,27.63666666666677
6+12+18,2025-02-20,01:40,0.4312,626.5667,626.5667,0.0,0.0,0.0,7800.0,7800.0,591.2583833333333,0.0,35.308316666666656
6+12+18,2025-02-20,01:50,0.4333,633.0435333333334,633.0435333333334,0.0,0.0,0.0,7800.0,7800.0,590.5609666666667,0.0,42.482566666666685
6+12+18,2025-02-20,02:00,0.4311,1436.5825,1436.5825,0.0,833.3333333333333,0.0,7800.0,8550.0,572.0666666666666,0.0,31.18250000000012
6+12+18,2025-02-20,02:10,0.4293,1449.7051666666666,1449.7051666666666,0.0,833.3333333333333,0.0,8550.0,9300.0,578.1642999999999,0.0,38.20753333333346
6+12+18,2025-02-20,02:20,0.4324,610.3547083333333,610.3547083333333,0.0,0.0,0.0,9300.0,9300.0,600.1929666666666,0.0,10.161741666666671
6+12+18,2025-02-20,02:30,0.4367,600.7533333333332,600.7533333333332,0.0,0.0,0.0,9300.0,9300.0,611.915,11.161666666666747,0.0
6+12+18,2025-02-20,02:40,0.4348,606.508425,606.508425,0.0,0.0,0.0,9300.0,9300.0,599.7192166666666,0.0,6.789208333333363
6+12+18,2025-02-20,02:50,0.4335,634.7515416666665,634.7515416666665,0.0,0.0,0.0,9300.0,9300.0,613.6692666666667,0.0,21.082274999999868
6+12+18,2025-02-20,03:00,0.4357,663.3516666666666,663.3516666666666,0.0,0.0,0.0,9300.0,9300.0,641.3166666666666,0.0,22.034999999999968
6+12+18,2025-02-20,03:10,0.4374,634.9083499999999,634.9083499999999,0.0,0.0,0.0,9300.0,9300.0,617.4041333333332,0.0,17.504216666666707
6+12+18,2025-02-20,03:20,0.4371,645.2846333333332,645.2846333333332,0.0,0.0,0.0,9300.0,9300.0,578.9192166666667,0.0,66.36541666666653
6+12+18,2025-02-20,03:30,0.4356,662.0533333333333,662.0533333333333,0.0,0.0,0.0,9300.0,9300.0,579.5683333333333,0.0,82.48500000000001
6+12+18,2025-02-20,03:40,0.4353,669.0883416666668,669.0883416666668,0.0,0.0,0.0,9300.0,9300.0,637.9500666666667,0.0,31.138275000000135
6+12+18,2025-02-20,03:50,0.436,672.9837499999999,672.9837499999999,0.0,0.0,0.0,9300.0,9300.0,674.76905,1.7853000000001202,0.0
6+12+18,2025-02-20,04:00,0.4378,681.6133333333333,681.6133333333333,0.0,0.0,0.0,9300.0,9300.0,670.9483333333333,0.0,10.665000000000077
6+12+18,2025-02-20,04:10,0.4401,672.9307999999999,672.9307999999999,0.0,0.0,0.0,9300.0,9300.0,672.92455,0.0,0.0062499999999090505
6+12+18,2025-02-20,04:20,0.4389,651.4065583333332,651.4065583333332,0.0,0.0,0.0,9300.0,9300.0,653.7343833333333,2.3278250000000753,0.0
6+12+18,2025-02-20,04:30,0.4364,645.445,645.445,0.0,0.0,0.0,9300.0,9300.0,632.8166666666666,0.0,12.628333333333444
6+12+18,2025-02-20,04:40,0.4393,684.5894499999999,684.5894499999999,0.0,0.0,0.0,9300.0,9300.0,664.26825,0.0,20.321199999999976
6+12+18,2025-02-20,04:50,0.4422,681.7961916666667,681.7961916666667,0.0,0.0,0.0,9300.0,9300.0,681.35335,0.0,0.442841666666709
