date,plan_total_kwh,plan_cost_yuan,adjusted_total_kwh,adjusted_settlement_yuan,natural_settlement_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,weekday_weight
2025-03-22,29741.66108246913,15578.321112817397,29207.9446743061,15334.804689904866,15276.859409783265,102.78655933333192,374.6616197303279,15651.521029513593,1364.9039529629651,1763.2021248148149,1.0
2025-03-23,68388.68298743354,42514.441392454966,63071.47571053487,40791.149802015294,40787.01027768197,0.0,0.0,40787.01027768197,1763.2021248148149,1517.22900966049,1.0
2025-03-24,64616.267533813436,39750.212770716564,62616.306224944536,39266.80953411934,39264.33729345267,0.0,0.0,39264.33729345267,1517.22900966049,1691.2337300347967,1.0
2025-03-25,71606.4798814212,44432.335603014064,64399.79927494625,42153.60473051469,42161.157864932204,71.4587333055523,394.8119411887008,42555.969806120906,1691.2337300347967,1265.2714208333332,1.0
2025-03-26,61892.94844486659,38213.41706256835,59923.8654439657,38186.30147406612,38172.89271398195,0.0,0.0,38172.89271398195,1265.2714208333332,1520.668417825926,1.0
2025-03-27,63852.192156711324,39802.45212395882,62543.17211340439,39313.890183867,39387.13307520033,0.0,0.0,39387.13307520033,1520.668417825926,1466.6408672839545,1.0
2025-03-28,29047.831248992457,14841.258586491282,28810.331253476677,14727.421597694338,14727.969126452539,0.0,0.0,14727.969126452539,1466.6408672839545,1589.4733826851855,1.0
2025-03-29,27831.540703382027,14039.373512574006,28261.040426420095,14608.537515279128,14542.278556520927,25.858316666664678,120.60065566665764,14662.879212187585,1589.4733826851855,1367.9901291836181,1.0
2025-03-30,62510.05221487368,38237.95487614016,59350.702533238175,38005.302685818744,38001.16316148541,0.0,0.0,38001.16316148541,1367.9901291836181,1448.299393021628,1.0
2025-03-31,55641.16234069757,34191.096807996,60862.90643699118,38932.62803021577,38942.84303788244,0.0,0.0,38942.84303788244,1448.299393021628,1554.8477187345673,1.0
2025-04-01,66046.72488968472,39804.55889201785,64201.9717093556,39641.74257421763,39645.8835238843,32.93315413781326,140.42462713091015,39786.30815101521,1554.8477187345673,1365.5075965046983,1.0
2025-04-02,62973.69053393038,38471.736957312154,64790.397060519885,40430.08390090437,40421.38883315182,160.0023508333317,959.6035198383235,41380.99235299014,1365.5075965046983,1282.248897503086,1.0
2025-04-03,64759.32521298766,40248.67680151075,60435.19814382747,38831.24079357524,38899.53332399446,0.0,0.0,38899.53332399446,1282.248897503086,1249.0853891037027,1.0
2025-04-04,27775.70398724382,13929.818746460845,27659.998893112283,13882.563386758555,13879.745502758555,0.0,0.0,13879.745502758555,1249.0853891037027,1376.8529018964352,1.0
2025-04-05,27341.696452104436,13690.880077749733,27609.406320763028,14082.950239034648,14013.852217034648,129.97907183333143,584.4641243933263,14598.316341427973,1376.8529018964352,1200.0,1.0
2025-04-06,61361.12384771292,36723.09142173926,60153.08709691321,36971.03741277773,36973.2244302892,0.0,0.0,36973.2244302892,1200.0,1264.5500668080224,1.0
2025-04-07,58152.8205402099,34871.20623096182,57965.13714905699,35050.48897616136,35063.01139864989,0.0,0.0,35063.01139864989,1264.5500668080224,1280.3450319444466,1.0
2025-04-08,62806.16087101052,38380.60301437091,58460.451273571496,37040.15437633898,37042.00730967231,179.65499933110337,684.0724984504457,37726.07980812276,1280.3450319444466,1200.0,1.0
2025-04-09,64624.217126764735,39017.83198800596,64419.642218472414,39121.70999662568,39106.38552529234,72.89221574999746,154.66457006474468,39261.05009535708,1200.0,1259.9053421113397,1.0
2025-04-10,61586.01676281696,37846.21317306001,59127.46893741538,37203.13650098292,37275.73371631625,5.651314999724747,21.938404828931464,37297.67212114518,1259.9053421113397,1457.3414116201186,1.0
2025-04-11,26275.26627841249,12988.976361271918,26618.86028299582,13500.52865397103,13494.542966637697,130.20594028527864,466.2447538524658,13960.787720490163,1457.3414116201186,1262.5750449999996,1.0
2025-04-12,28201.924403139736,14485.823547919132,27401.524336204388,14126.636677973707,14058.459777640372,0.0,0.0,14058.459777640372,1262.5750449999996,1676.984302543437,1.0
2025-04-13,60691.39120612375,36352.7700464082,58820.51585900374,35783.96427529438,35789.861591961046,0.0,0.0,35789.861591961046,1676.984302543437,1575.5129356599482,1.0
2025-04-14,63557.25587812659,38544.31500998396,55839.190325948555,37222.358323858454,37219.72929652512,165.02409691583327,1133.255466838372,38352.98476336349,1575.5129356599482,1377.4490122222232,1.0
2025-04-15,55388.29023889945,33190.53644459159,55070.29176057053,33871.54031044651,33871.34005111318,34.82565000000201,135.19317330000777,34006.533224413186,1377.4490122222232,1522.0993302777788,1.0
2025-04-16,60400.969676814886,35708.18965651739,60627.786228435594,36364.95171861036,36368.29545440036,0.0,0.0,36368.29545440036,1522.0993302777788,1365.4927088398674,1.0
2025-04-17,55400.569458898084,34180.002008750336,57135.385944111054,35678.02615306864,35751.11413561198,0.0,0.0,35751.11413561198,1365.4927088398674,1678.151766678703,1.0
2025-04-18,26029.890541122426,12916.473610630885,26071.19638542661,13155.330356675568,13146.191119342233,0.0,0.0,13146.191119342233,1678.151766678703,1785.8846337037044,1.0
2025-04-19,25751.821525657062,12513.86028501787,26207.72393284845,13265.905159120543,13198.25527578721,0.0,0.0,13198.25527578721,1785.8846337037044,1725.29396546296,1.0
2025-04-20,56933.299600803104,34382.33145692038,56893.73066320503,34387.79231903445,34397.77285936778,0.0,0.0,34397.77285936778,1725.29396546296,1881.9378853336066,1.0
2025-04-21,59347.55136711194,35697.9302861487,53155.075029650136,33774.97160341179,33767.19997341179,116.9077012100066,564.0110251178671,34331.21099852966,1881.9378853336066,1297.8543312694542,1.0
2025-04-22,54658.61037091014,32787.539557011114,55993.46565474087,34509.00681698942,34508.12596098942,0.0,0.0,34508.12596098942,1297.8543312694542,1494.0404451657432,1.0
2025-04-23,52636.8173467836,31706.05186834167,55579.79215233593,33968.922512412944,33969.645512746276,0.0,0.0,33969.645512746276,1494.0404451657432,1780.7678208606394,1.0
2025-04-24,54104.24432249037,32642.523211753993,54043.494161441384,33004.91293416977,33080.96123783644,0.0,0.0,33080.96123783644,1780.7678208606394,1540.5153083641974,1.0
2025-04-25,25828.095000240053,12861.253732448244,25179.38569699931,12552.708745195407,12538.712684528738,0.0,0.0,12538.712684528738,1540.5153083641974,1442.5212696296308,1.0
2025-04-26,25745.0927849934,12723.445123524703,25679.443442588206,12733.547074338172,12667.503185338172,0.0,0.0,12667.503185338172,1442.5212696296308,1495.1400574074103,1.0
