policy,date,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+18,2025-07-31,52671.47808606055,1462.6643694444438,5878.112623775336,58549.59070983589,1240.5821775000027,1280.3551227937494
6+18,2025-08-01,31957.195146742873,1.782518750000122,3.8618268718752646,31961.056973614748,1280.3551227937494,1476.4379562499998
6+18,2025-08-02,34302.5652478029,0.0,0.0,34302.5652478029,1476.4379562499998,1326.3309560648158
6+18,2025-08-03,48383.73536506661,571.4433833333334,2564.7980913097217,50948.53345637633,1326.3309560648158,1485.9415399999996
6+18,2025-08-04,51524.34516658073,82.94981666666672,179.91897810416677,51704.264144684894,1485.9415399999996,1320.224208425926
6+18,2025-08-05,49751.637729544105,242.72524166666716,1111.0383210791683,50862.676050623275,1320.224208425926,1352.5405429629634
6+18,2025-08-06,54667.05963429064,142.55278333333342,427.45507986250027,55094.51471415314,1352.5405429629634,1233.7390514814817
6+18,2025-08-07,53992.21412085995,325.3413861111123,932.6206148597256,54924.834735719676,1233.7390514814817,1221.790740740741
6+18,2025-08-08,25038.36434171578,105.52837006172803,506.0853740580225,25544.449715773804,1221.790740740741,1221.790740740745
6+18,2025-08-09,25328.704559586356,201.09947222222212,792.9856758597214,26121.690235446076,1221.790740740745,1200.0000000000002
6+18,2025-08-10,50801.53504566479,207.70199444444404,731.7661250986091,51533.30117076339,1200.0000000000002,1202.5825733333336
6+18,2025-08-11,49046.881446925465,556.6086835277772,2166.0499354775106,51212.931382402974,1202.5825733333336,1201.233
6+18,2025-08-12,52896.74189802205,290.81913611111054,1151.7665768555519,54048.5084748776,1201.233,1200.0
6+18,2025-08-13,47396.36541753067,727.8011868333306,3073.156498255709,50469.52191578638,1200.0,1200.0000000000018
6+18,2025-08-14,49997.29072929185,377.018191666666,1725.009435104164,51722.300164396016,1200.0000000000018,1200.0
6+18,2025-08-15,25377.14028579837,290.93168888888897,941.4504897597222,26318.590775558092,1200.0,1200.0000000000007
6+18,2025-08-16,26669.103698986906,641.6440861111109,2664.994932405554,29334.09863139246,1200.0000000000007,1202.9307075000004
6+18,2025-08-17,49327.45440358984,643.9283222222222,3083.3649452791647,52410.81934886901,1202.9307075000004,1200.0
6+18,2025-08-18,48522.285202212544,452.62967222222215,1814.3886856583335,50336.67388787088,1200.0,1214.1675536111115
