policy,date,plan_cost_yuan,adjustment_fee_yuan,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+12+18,2025-03-21,15771.732990915874,0.0,15768.499622249208,473.80684444444535,1843.160118137504,17611.659740386713,1199.999999999999,1200.0000000000002
6+12+18,2025-03-22,16374.266475095257,0.0,16315.653561428591,358.8648999999998,872.5334844069438,17188.187045835533,1200.0000000000002,1200.0000000000018
6+12+18,2025-03-23,45610.25436502445,0.0,45606.11484069111,369.24350833333347,1188.0401114847232,46794.154952175835,1200.0000000000018,1200.0000000000034
6+12+18,2025-03-24,42614.68578382999,513.6178504002855,43128.88908989694,403.8637612482846,1179.8189068953668,44308.707996792305,1200.0000000000034,1200.0
6+12+18,2025-03-25,47596.88376887406,0.0,47603.21581220739,400.6961138888887,1292.6208352333338,48895.83664744072,1200.0,1200.000000000001
6+12+18,2025-03-26,40960.201259707756,685.274686399168,41635.16651010693,388.8033285665283,1224.5375526795533,42859.704062786484,1200.000000000001,1200.0
6+12+18,2025-03-27,42974.63593848815,582.0003405538312,43629.87917037532,707.4076944444441,2664.9449470013874,46294.82411737671,1200.0,1206.4637100000023
6+12+18,2025-03-28,15791.825009543038,0.0,15788.634044543036,275.27472222222207,1030.3002049222218,16818.93424946526,1206.4637100000023,1199.9999999999998
6+12+18,2025-03-29,14976.226893167113,415.38797625999507,15329.094404427107,278.79877500000373,1195.0004881111377,16524.094892538244,1199.9999999999998,1200.0
6+12+18,2025-03-30,41448.64177224632,0.0,41444.502247913,782.2319205075436,2809.672237160644,44254.17448507364,1200.0,1201.1337225000002
6+12+18,2025-03-31,36698.04716220673,7055.0652065125005,43751.66886238589,357.9147975308658,1179.329398248467,44930.99826063436,1201.1337225000002,1204.0036049999999
6+12+18,2025-04-01,43007.265541066445,909.5529455813554,43921.911558981126,547.2182944444445,1918.504587019444,45840.41614600057,1204.0036049999999,1200.0000000000025
6+12+18,2025-04-02,42361.47576735068,1057.6606659227946,43411.94135060681,364.1319836762709,1325.1597292552417,44737.10107986205,1200.0000000000025,1200.4702500000005
6+12+18,2025-04-03,43743.16352858143,0.0,43818.003149581426,270.6641555555565,786.5310878847272,44604.534237466156,1200.4702500000005,1200.000000000001
6+12+18,2025-04-04,14688.511768207714,0.0,14687.545392207714,217.71877222222224,859.7086491944448,15547.254041402159,1200.000000000001,1199.9999999999995
6+12+18,2025-04-05,14491.977881838277,129.09071660124945,14551.759627106194,904.2250344650195,3631.3719320115206,18183.131559117715,1199.9999999999995,1200.0000000000014
6+12+18,2025-04-06,39383.73999891259,677.4763455316659,40059.757159444256,190.39674396433338,740.2612221313564,40800.01838157561,1200.0000000000014,1200.2587500000018
6+12+18,2025-04-07,36071.74949230494,2119.758700291907,38200.33171859685,398.5019328333345,1340.4513596438114,39540.78307824066,1200.2587500000018,1200.0271350000014
6+12+18,2025-04-08,41041.35639894739,101.12003660833793,41139.97034322239,229.2715443779125,1129.8046903450957,42269.77503356749,1200.0271350000014,1200.0000000000023
6+12+18,2025-04-09,40366.639840134594,1001.1984196535052,41368.05241612144,343.25046111111214,1174.6352639666702,42542.687680088115,1200.0000000000023,1204.836111111111
