policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18_frozen0,2025-11-01,00:10,0.4248,1243.0485416666666,1243.0485416666666,0.0,833.3333333333333,0.0,1200.0000000000002,1950.0000000000002,390.3742,0.0,19.34100833333332
6+12+18_frozen0,2025-11-01,00:20,0.4245,1234.6369333333332,1234.6369333333332,0.0,833.3333333333333,0.0,1950.0000000000002,2700.0,390.44329999999997,0.0,10.860299999999995
6+12+18_frozen0,2025-11-01,00:30,0.4269,1272.3316666666667,1272.3316666666667,0.0,833.3333333333333,0.0,2700.0,3450.0,407.6633333333333,0.0,31.33500000000015
6+12+18_frozen0,2025-11-01,00:40,0.4272,1258.1866333333332,1258.1866333333332,0.0,833.3333333333333,0.0,3450.0,4200.0,412.72543333333334,0.0,12.127866666666648
6+12+18_frozen0,2025-11-01,00:50,0.4271,1265.746525,1265.746525,0.0,833.3333333333333,0.0,4200.0,4950.0,411.96348333333333,0.0,20.449708333333433
6+12+18_frozen0,2025-11-01,01:00,0.4285,1260.7983333333332,1260.7983333333332,0.0,833.3333333333333,0.0,4950.0,5700.0,408.71333333333337,0.0,18.75166666666655
6+12+18_frozen0,2025-11-01,01:10,0.4311,421.89620833333333,421.89620833333333,0.0,0.0,0.0,5700.0,5700.0,399.7235666666666,0.0,22.17264166666672
6+12+18_frozen0,2025-11-01,01:20,0.4302,431.538,431.538,0.0,0.0,0.0,5700.0,5700.0,403.4425,0.0,28.095500000000015
6+12+18_frozen0,2025-11-01,01:30,0.4279,1286.8941666666665,1286.8941666666665,0.0,833.3333333333333,0.0,5700.0,6450.0,419.40166666666664,0.0,34.15916666666658
6+12+18_frozen0,2025-11-01,01:40,0.4312,470.3733166666667,470.3733166666667,0.0,0.0,0.0,6450.0,6450.0,428.7606333333333,0.0,41.61268333333339
6+12+18_frozen0,2025-11-01,01:50,0.4333,442.3024416666666,442.3024416666666,0.0,0.0,0.0,6450.0,6450.0,436.59816666666666,0.0,5.704274999999939
6+12+18_frozen0,2025-11-01,02:00,0.4311,426.25,426.25,0.0,0.0,0.0,6450.0,6450.0,442.86999999999995,16.619999999999948,0.0
6+12+18_frozen0,2025-11-01,02:10,0.4293,595.2548399176944,595.2548399176944,0.0,176.74213991769446,0.0,6450.0,6609.067925925925,438.93533333333335,20.42263333333335,0.0
6+12+18_frozen0,2025-11-01,02:20,0.4324,436.89430833333347,436.89430833333347,0.0,0.0,0.0,6609.067925925925,6609.067925925925,427.7810833333333,0.0,9.11322500000017
6+12+18_frozen0,2025-11-01,02:30,0.4367,458.4875,458.4875,0.0,0.0,0.0,6609.067925925925,6609.067925925925,427.39166666666665,0.0,31.09583333333336
6+12+18_frozen0,2025-11-01,02:40,0.4348,462.37919166666654,462.37919166666654,0.0,0.0,0.0,6609.067925925925,6609.067925925925,453.2641166666666,0.0,9.115074999999933
6+12+18_frozen0,2025-11-01,02:50,0.4335,450.5666333333332,450.5666333333332,0.0,0.0,0.0,6609.067925925925,6609.067925925925,465.09971666666667,14.53308333333348,0.0
